t,ApoER2_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,1.06623170248197,1.15779473859985e-06,0.337704768963105,0.00696290738004161
15,0.00110643558423921,NaN,1.06800237217637,NaN
20,NaN,NaN,NaN,0.00626641552469459
25,0.000916676780162126,0.000423176575560053,1.18719658123546,NaN
40,0.000958494854877488,NaN,0.904322093500503,NaN
45,NaN,NaN,NaN,0.00679584620564724
50,NaN,0.000333737911927285,NaN,NaN
55,0.000775093380078191,NaN,0.969319218849452,NaN
65,NaN,NaN,NaN,0.00701157683266493
70,NaN,NaN,0.799363210351593,NaN
75,0.000669995530415555,0.000309993918271373,NaN,NaN
85,NaN,NaN,0.804782414456878,NaN
90,NaN,NaN,NaN,0.00689624134206472
95,0.000632379320430606,NaN,NaN,NaN
100,0.000567946564623699,0.000247208137313706,0.705478425957779,0.00685946280010903
150,NaN,0.000201848272949169,0.548067803619412,0.00610250911128545
200,NaN,0.000161828890283286,0.474090438521079,0.00697468074263385
250,NaN,0.000145560890762219,0.375822509996016,0.00709712621768439
300,NaN,NaN,0.367510555361247,0.00721642363692873
350,NaN,0.000120611486382322,NaN,0.00677904050126414
400,NaN,0.000111850519218401,NaN,NaN
