t,Z_protein_Obs,X_mRNA_Obs,Z_mRNA_Obs
0,-238.925647419377,169.978935677201,456.766144325727
20,7392.38042997734,NaN,1.5456020297636
30,NaN,-1.07666157065429,NaN
40,4618.76402865647,NaN,-4.21953801646869
60,NaN,1.66996096949749,-0.67503314718641
65,2891.65695643575,NaN,NaN
85,1750.09493790661,NaN,0.298082041929127
95,NaN,0.362820769743653,NaN
100,1134.68152943118,NaN,1.93144476459453
150,409.497550383433,10.6378219126542,3.63188598957924
200,649.908799147244,7.96497788985248,0.112339068437171
250,2876.56839478857,-0.393206404471444,17.9378238368661
300,4313.77238730233,NaN,0.129012313963853
350,1326.88703057763,0.660647566154539,-1.50016113236725
400,NaN,8.05811459949424,NaN
500,NaN,1.24144079894269,NaN
