t,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0.108009689160474,0,0.000135772998688684
8.5,NaN,0.986333574109051,NaN
10,26.5982281766431,NaN,0.000761588667590334
15,NaN,30.3565665532939,NaN
20,41.7437294909226,NaN,NaN
25,NaN,359.077476557725,0.0167348164471729
30,46.655309680599,NaN,NaN
35,NaN,1423.42994495855,0.0477516575194384
40,46.8772211465301,NaN,NaN
45,NaN,1673.79512725168,NaN
50,NaN,NaN,0.0615582259102057
55,27.834292140711,2678.30429788096,NaN
65,NaN,NaN,0.0941029642649829
70,41.0307499809352,3044.61552556404,NaN
80,NaN,NaN,0.0914863273242647
85,20.6900204114591,4106.95836023428,NaN
100,22.8159039612409,4906.0908645327,0.0853316672313639
150,18.8465726948899,2128.65764905812,0.168934626960532
200,22.6071259475948,1850.61212582808,0.156018339502244
