t,p1EpoRpJAK2_Obs,SHP1_Obs,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0,20.9804894649007,0.114134444973261,0,8.85832118796374e-05
4.5,NaN,27.8132479624861,NaN,NaN,NaN
5,NaN,NaN,NaN,0.00108559873460484,NaN
6,NaN,NaN,5.85910455213839,NaN,NaN
8.5,0.0393180218884584,NaN,NaN,NaN,NaN
9.5,NaN,23.2296064845951,NaN,NaN,NaN
10,NaN,NaN,15.4407013025825,0.374965389537606,0.000221320020215076
15,NaN,29.402512877589,NaN,8.53033504052894,NaN
20,0.0504933088581979,20.632315727656,22.0626370760316,61.8993673075978,0.00508359158826541
25,0.0378220471994071,25.1566413678637,38.2131467194933,89.3650275856014,NaN
30,NaN,14.7281813599451,NaN,NaN,0.0161212468772103
35,0.0258129069207614,NaN,54.2060164844615,758.594270912962,NaN
40,NaN,25.7445439335593,NaN,926.350892919759,NaN
45,NaN,NaN,24.3514393026069,NaN,0.0257036168156313
50,0.0180371111980761,37.4717108877776,NaN,1363.60496509353,NaN
55,NaN,NaN,28.7044982079557,NaN,0.0358557754073042
60,0.0196546515854981,32.4940938482434,NaN,2586.11780512706,NaN
65,NaN,NaN,21.666502265543,NaN,NaN
70,NaN,28.1816961582513,NaN,1874.05204019071,0.0643151232258675
75,0.00976374289993528,NaN,NaN,NaN,NaN
80,NaN,NaN,15.7741605852058,3312.01116736424,NaN
85,NaN,26.4835669726818,NaN,NaN,0.0674748636883566
90,0.0146435980338116,NaN,NaN,NaN,NaN
95,NaN,NaN,13.1492689044445,2168.13334421749,NaN
100,0.0158470779553832,NaN,14.955386789524,2810.00300966394,0.0823032505562095
150,0.0131924666580462,NaN,NaN,1944.35484152633,0.105008818755587
200,NaN,NaN,NaN,NaN,0.084396643177816
