t,epo_level,SHP1_Obs
12,2.5e-09,19.4360246080858
12,2.5e-09,24.1580799325417
12,2.5e-09,31.419435525105
12,7.905e-09,31.1091685753903
12,7.905e-09,31.4533955491026
12,7.905e-09,52.4581837053058
12,1.25e-08,23.8664143386568
12,1.75e-08,26.5167245692872
12,1.75e-08,27.372279297905
12,1.75e-08,30.6939268007465
12,2.5e-08,24.9084530215556
12,2.5e-08,27.4345933646084
12,2.5e-08,29.1662335586235
12,3.95e-08,25.2246981059688
12,7.9e-08,24.619394482967
12,7.9e-08,32.1484572046113
12,7.9e-08,40.0942603752695
12,1.25e-07,24.0574543880932
12,1.25e-07,30.3651371740307
12,1.25e-07,30.7710362226997
12,1.7675e-07,63.1078756814954
12,2.5e-07,24.0950769738678
12,2.5e-07,40.9251971271125
12,2.5e-07,49.0936598389009
12,7.905e-07,17.5967077310877
12,2.5e-06,26.1473247086558
12,2.5e-06,27.3384869106008
12,2.5e-06,31.5395225342711
