t,epo_level,p1EpoRpJAK2_Obs
110,2.5e-09,0.000789460574564792
110,2.5e-09,0.000982553758240417
110,2.5e-09,0.00102052688606955
110,2.5e-08,0.00569399586893351
110,2.5e-08,0.00639789483093526
110,2.5e-08,0.00729486654564717
110,1.25e-07,0.013985751059265
110,1.25e-07,0.0164629867171299
110,1.25e-07,0.0174808432826446
110,2.5e-07,0.0160456606166373
110,2.5e-07,0.0197690036870623
110,2.5e-07,0.020642077246229
110,2.5e-06,0.0186020005491614
110,2.5e-06,0.0225006935051271
110,2.5e-06,0.0281434184996305
