t,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0.159065584210655,0,0.000102967069817053
8.5,NaN,0.0286337909018267,NaN
15,7.19266819967502,1.72106255622469,0.000381136282309911
25,19.645950266516,40.5029682024036,NaN
35,NaN,184.491090687784,0.0096983693258133
40,17.4486204372019,NaN,NaN
45,NaN,485.63316991723,NaN
50,NaN,NaN,0.0270481198245441
55,18.3152906535238,NaN,NaN
60,NaN,1800.97099961721,NaN
70,18.7570698603363,1811.73261424599,0.0481173572000048
85,NaN,2349.93941844809,NaN
90,20.8672790591175,NaN,NaN
95,NaN,NaN,0.0605478444718962
100,14.520912281668,2305.22874408531,0.0576920378907647
150,13.6307925490883,1336.77768062007,0.0652014174340256
200,13.8291884296753,971.648484663275,0.0728454471796415
250,8.85465803898047,NaN,0.113599403283919
300,8.7861909645087,NaN,0.0776504579077413
