t,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,npSTAT5_Obs
0,0,0.00102494315630404,23.2010074403202,0.115987919173758
9,NaN,NaN,15.3924064540342,NaN
10,0.0242592454602714,0.6293208982283,NaN,NaN
15,NaN,NaN,NaN,51.2513200496039
20,NaN,0.204488735134812,31.1451204981244,NaN
25,0.0314930032060556,NaN,NaN,NaN
30,NaN,0.0869064736396413,31.9495080234124,41.5869248256792
35,0.0233655643171168,NaN,NaN,NaN
45,NaN,0.0459749712361233,26.8464675689823,61.0414679534185
50,0.0199358591178998,NaN,NaN,NaN
60,NaN,0.0660989311639876,18.5703031103409,NaN
65,0.0300929852471023,NaN,NaN,54.3262784252096
75,NaN,0.0348786027914418,27.5201978877162,NaN
85,0.0208443067700576,NaN,NaN,39.4749894819017
100,0.0240559004216289,0.0305770306827791,NaN,27.5504097597992
150,0.0145335637340654,NaN,NaN,25.9838900857912
200,0.018591352488348,NaN,NaN,24.9330604737566
250,NaN,NaN,NaN,25.9837023560398
300,NaN,NaN,NaN,30.5066185624937
