t,epo_level,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
22,2.5e-09,65.681172434287,75.2950704787478,0.0129650200972006
22,2.5e-09,53.3483479047775,84.9141779837766,0.00991943867764918
22,2.5e-09,46.8731766452991,92.5434226200808,0.0131476423906915
22,2.5e-08,29.8271417054612,66.2231645097444,0.00692905362372281
22,2.5e-08,47.1640459884562,78.0778841633522,0.0137094953516375
22,2.5e-08,28.315717620181,40.3858450578371,0.00726107844995966
22,1.25e-07,47.9661936199371,103.256040580805,0.0117124055032826
22,1.25e-07,68.1903948977691,144.203571271666,0.0161612509209587
22,1.25e-07,51.1675756278745,112.819841635927,0.00705356063254656
22,2.5e-07,27.7131507072309,78.4786973303144,0.00908697508155633
22,2.5e-07,39.4947718781091,70.6334717079143,0.00670332086311904
22,2.5e-07,36.5780030154974,109.69283287215,0.00969805169942103
22,1.25e-06,17.4433271140545,14.3316760249305,0.00190203042193335
22,1.25e-06,14.9159613627085,14.0008671926131,0.00237124865331134
22,1.25e-06,13.7246615006173,13.8664213043701,0.00214869104428707
22,2.5e-06,1.27723173253143,0.466456170427869,9.17514251409832e-05
22,2.5e-06,1.63935365140437,0.469124549100509,0.000133885527610674
22,2.5e-06,1.11807964289362,0.564898257307533,0.000107735060827938
