t,p1EpoRpJAK2_Obs,SHP1_Obs,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0,83.5928309370271,0.118200663150072,0,0.000114095268677075
5,NaN,95.6306506200213,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.00238730474972245,NaN
7,0.0322947578678967,NaN,8.98045442886732,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.000237450455659827
10,NaN,117.651976078104,NaN,0.299726214081809,NaN
15,0.0208038610071509,129.675581835597,29.5713590693052,NaN,0.00131532314425391
20,0.0116087823392739,107.249797534529,52.1320427067275,26.8804045944804,NaN
25,NaN,NaN,NaN,72.615051119086,0.00507097824715281
30,0.00894730892881248,136.047871864263,39.1297723280954,343.828141010541,NaN
35,NaN,89.6133363707833,NaN,NaN,NaN
40,0.011973282021456,NaN,25.2378001333846,766.044846140751,0.0310243799251061
45,NaN,93.7876933578478,NaN,NaN,NaN
50,0.00587165027583661,78.6888954075418,20.2786214896821,1425.49768919822,0.0283465359465098
60,0.0067328812981874,NaN,16.8863200071133,2005.27759158113,NaN
65,NaN,78.5082084707535,NaN,NaN,0.0498734206294327
70,NaN,NaN,NaN,2413.96129761411,NaN
75,0.00695154792406767,102.920927545652,13.3582064022585,NaN,NaN
80,NaN,NaN,NaN,NaN,0.0492130770184871
85,NaN,NaN,NaN,2278.46119951046,NaN
90,NaN,90.0141017672227,10.2722056169401,NaN,NaN
95,0.00613833035874574,NaN,NaN,NaN,NaN
100,0.00473969808242506,NaN,8.59789765966032,1737.88070035072,0.0483761606312012
150,NaN,NaN,10.2565415457275,1536.86909486174,0.0600759247403977
