t,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0.122414966322482,0,0.00014352049787672
9.5,NaN,0.0535910889922983,NaN
10,2.79583030910051,NaN,NaN
15,NaN,NaN,0.000518585576591717
20,NaN,8.08413897167832,NaN
25,12.0311770340853,NaN,NaN
30,NaN,65.3372932645368,NaN
35,NaN,NaN,0.0082824479535275
40,19.7737118181862,199.607779201152,NaN
50,17.1696502350878,NaN,0.020954228562952
55,NaN,777.309353468735,NaN
65,19.4553873413334,1654.39723450708,NaN
70,NaN,NaN,0.0377551278853063
80,NaN,1247.00960238811,NaN
85,15.3361211655722,NaN,NaN
95,NaN,NaN,0.0529906919460786
100,13.0066376443474,2002.56415071472,0.0840900869741573
150,16.5119902509577,1495.86334610326,0.0537319423184059
200,13.5861656712537,2060.32926614703,0.0613438108843592
250,8.1821788587457,NaN,0.062236696451431
300,9.25352867774189,NaN,0.0952081824179303
