t,p1EpoRpJAK2_Obs,SHP1_Obs,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0,201.390462754764,0.100780485438576,0,0.000109231982756101
5,NaN,NaN,4.70210632417866,NaN,NaN
5.5,NaN,116.527673713087,NaN,0.00176610097216124,NaN
7,0.0292342414276676,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.000204840573109032
10,NaN,151.142688571146,14.2981336271195,0.285097287469962,NaN
15,0.0193466926367692,NaN,27.2049383696275,6.21961671420231,NaN
20,0.0422067920178476,88.7438908534123,25.3008083998631,NaN,0.00491674845658815
25,NaN,152.47923784455,42.5046625005364,61.5085161599694,NaN
30,0.0128056189051325,188.872408971971,17.5745460468982,314.823999948004,0.00784683615269996
35,NaN,NaN,NaN,482.839039218755,NaN
40,0.00969614924681078,78.1684748377361,17.8442350585687,NaN,0.0243731342122823
45,NaN,NaN,33.9319352048179,895.340765869908,NaN
50,0.0181522008357526,79.5347036229557,NaN,NaN,NaN
55,NaN,NaN,28.1553373673203,1328.65973635549,0.0362752300639077
60,0.00870277939757013,144.11439736527,NaN,NaN,NaN
65,NaN,NaN,20.5052864286382,2171.17628699133,0.0246967515201893
75,0.00681673438362944,81.2491363638444,21.0895153943137,2459.83631857068,NaN
85,NaN,NaN,NaN,NaN,0.0314743752158799
90,0.0050526629423599,99.2638743313291,10.492170327747,1931.68526231051,NaN
100,0.00651597948418278,180.784932186929,10.0578861484441,2028.02627359743,0.0513715086848163
150,0.00420517603031433,NaN,NaN,1180.43865577025,0.0561929484085495
