t,npSTAT5_Obs,CISnRNA5_Obs,SOCS3RNA_Obs
0,0.00890027994816344,0,8.01679213524369e-05
10,0.861253102273722,0.00821701148020943,NaN
15,NaN,NaN,0.000245539882764377
20,3.16200976107994,NaN,NaN
25,NaN,7.1379884143231,NaN
30,4.80546060045779,NaN,NaN
35,NaN,NaN,0.00227073891945781
40,NaN,73.6094983697491,NaN
45,4.74994228881358,NaN,NaN
50,NaN,NaN,0.0037356946193472
55,3.84202089067288,226.117707048418,NaN
70,3.59960442995602,257.930225976024,0.00968028668169812
85,4.68463957252376,349.630354561336,NaN
95,NaN,NaN,0.0154628669267557
100,3.39507916699463,266.646987831764,0.0136031258019785
150,3.19752849076916,563.163799163277,0.0162033218023841
200,4.82277574233101,574.555696005157,0.0139246772171328
250,NaN,353.818733347819,0.0136940829844095
300,NaN,307.927388335229,0.0161705609425472
