t,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs
0,11.6045208013856,0,10.4912623796799
1.5,105.784446499385,NaN,NaN
3,NaN,225.355969702784,NaN
3.5,726.491070481962,NaN,14.1744403885357
5.5,8803.4482957124,NaN,NaN
6.5,NaN,16643.1320961622,NaN
7,NaN,NaN,461.856738678144
8,33948.633404393,NaN,NaN
9.5,NaN,49700.6289350091,NaN
10,10606.2897305644,NaN,2583.54548619018
15,330.101990598688,18945.5704045323,10108.1492772922
20,46.3329006628421,15672.5078590793,5617.47078099931
25,NaN,NaN,11880.1078055297
30,NaN,4267.51389679593,13931.6080427898
35,NaN,4576.09671758196,NaN
40,NaN,NaN,9410.87784388229
45,NaN,2419.55799691994,16566.6814697974
50,NaN,2055.08921247036,NaN
55,NaN,NaN,13989.6231652791
70,NaN,NaN,12211.4493216473
