t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,0.748419791641433,0.00721749896637094,0.00452403905133156,1.17461883120498
15,8.59560818421311,NaN,NaN,0.99281905698797
20,NaN,0.0424037215120224,0.00800296183675004,NaN
25,20.2182098844834,NaN,NaN,NaN
30,NaN,NaN,NaN,1.08882910633176
35,NaN,0.0556088411303227,NaN,NaN
40,25.3588170517725,NaN,0.0260257526647485,NaN
50,NaN,NaN,NaN,2.54099505504522
55,21.2159962981442,0.0455292459785736,NaN,NaN
60,NaN,NaN,0.0454061772001916,NaN
65,NaN,NaN,NaN,4.62709010813803
70,19.652297483897,NaN,NaN,NaN
80,NaN,0.0289411096814723,NaN,NaN
85,13.2131909481556,NaN,0.0386450328964494,7.12429944604833
100,10.289324033457,0.0219032276169856,0.0349851833939475,6.79645308576316
150,9.98210163439745,0.0187081660493961,0.0164957764273427,4.28462544946791
200,7.29868089271557,0.0204817547684092,0.0183450477462976,3.56611967562329
250,8.53021109888912,0.0162948640472698,0.017046109565591,3.104608655087
