t,CISHnRNA4_Obs,SOCS3nRNA5_Obs
0,0.000142216213149229,0.00108753793515149
60,NaN,0.00140364089435162
85,0.00460867971439277,NaN
150,0.00339353410528406,0.00205753363294316
200,NaN,0.0019253377041646
250,0.00289302536857681,0.000970612820023592
350,0.00223369762453352,0.0034539901227042
450,0.0021882900662036,0.00133535284762393
550,NaN,0.00132228843677888
600,0.00241607062191514,NaN
650,NaN,0.00277572719361646
750,0.00351664793797923,NaN
800,NaN,0.00238647241215423
900,0.00152233649621259,NaN
950,NaN,0.00221641394901481
1000,0.00211309892813728,NaN
1500,0.00432536817421057,NaN
