t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,0.000581479205122833,0.0203691364398809,0.0218387785251937
10,0.00227566407162585,NaN,NaN
20,NaN,0.0221828632929578,0.0232433279490088
25,0.0975885271146316,NaN,NaN
35,0.174458534239828,0.030048572342095,0.0253995543007877
50,0.233072176522029,NaN,NaN
55,NaN,0.0224668340167447,0.0266600448202202
65,0.221679556139997,NaN,NaN
75,NaN,NaN,0.0254234544119175
80,NaN,0.0246980176375288,NaN
85,0.183004995700914,NaN,NaN
100,0.1407242580537,0.0236027739754913,0.0222703603085472
150,0.0791581262270549,0.0254349887103638,0.0208625599226104
200,0.047451309506924,0.0252071287388063,0.0266842760498432
250,NaN,0.0219583368170998,0.0238834791517043
300,NaN,NaN,0.0215731421954573
