t,epo_level,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
6,2.5e-09,-0.218963125147281,0.0237380472782341,0.0267018500872992
6,2.5e-09,-0.0839069992724502,0.0239382518178818,0.0225446913141097
6,2.5e-09,-0.0232565174525886,0.0244292390755804,0.0207118545431512
6,2.5e-08,-0.172135740859638,0.0211211889081391,0.0230401897009302
6,2.5e-08,0.103853154208225,0.0228235694219324,0.023546890154687
6,2.5e-08,0.151650697366421,0.0248023684355071,0.0215573761600942
6,2.5e-07,0.986938350894711,0.0324343606215819,0.0231759637567749
6,2.5e-07,1.16642482331288,0.0321082270255503,0.0233776524585114
6,2.5e-07,1.32190547217095,0.0313826353434996,0.0222458348840397
6,2.5e-06,3.05589112965984,0.0470199212588152,0.025362476504965
6,2.5e-06,3.30698070040082,0.0491786923409756,0.0258396387194322
6,2.5e-06,3.42131998460237,0.053997496091027,0.0209109226156208
6,2.5e-05,3.96340899789507,0.0508576081743579,0.0279951577757283
6,2.5e-05,4.03769334546574,0.0527165833027514,0.024633755060583
6,2.5e-05,4.39038865477302,0.0571787316414316,0.0264517467567763
