t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,-0.630877451157456,0.0286241451556953,0.0186405643297175,5.91792064262216
7.5,NaN,0.0363643290744997,NaN,NaN
8.5,NaN,NaN,NaN,4.17055655498326
9,NaN,NaN,0.0193424935289434,NaN
10,1.13534852940175,NaN,NaN,NaN
15,NaN,0.0457085297809509,NaN,2.86693434474923
20,5.89968587640571,NaN,0.0310730998988888,NaN
25,NaN,0.0783721795612827,NaN,3.83676162742574
30,9.71173525760381,NaN,0.0324755695507387,NaN
35,NaN,0.085687524446932,NaN,3.79555708792641
40,NaN,NaN,0.0562020065897034,NaN
45,10.4969597764788,0.0795377904584685,NaN,NaN
50,NaN,NaN,0.0635227768683071,6.11080760464786
55,NaN,0.0634949292831981,NaN,NaN
60,8.65012966832006,NaN,NaN,8.16676209509055
65,NaN,0.0658783148814925,0.0750768604913824,NaN
75,6.32378227106334,NaN,NaN,9.95814913037159
80,NaN,0.0512683661950071,0.0696159913056259,NaN
90,4.50307224245865,NaN,NaN,10.7427766330979
95,NaN,0.0444128699266896,NaN,NaN
100,3.39852991670549,0.0384049168332197,0.0543840865053773,10.7155883079109
150,0.94541412591831,0.03466861511224,0.0349820220889263,7.9092410073306
200,1.68954231885763,NaN,NaN,NaN
