t,nSTAT5_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.0257033124941196,0.000460993082364098,0.036466289483896,0.036094863839726,0.0144821486062683,0.0358591523185435,3.73657636032074
15,7.00948947502336,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,0.00517783550669129,NaN,NaN,NaN,NaN,2.47583825873799
25,30.000260970853,NaN,0.0742660490845751,0.0206227742317815,0.0183454439364231,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,0.045418227711467,NaN
40,56.3218659772404,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.0392519729689802,NaN,NaN,NaN,NaN,6.65455833870161
50,NaN,NaN,NaN,0.127165542798897,NaN,NaN,NaN
55,NaN,NaN,0.193886861682424,NaN,0.0744449386256156,NaN,NaN
60,6.53682944928429,NaN,NaN,NaN,NaN,0.117569644248846,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,21.6958354937624
70,NaN,0.0605537656350411,NaN,NaN,NaN,NaN,NaN
75,19.1183383089017,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0722363259801858,NaN,NaN,NaN
85,NaN,NaN,0.164577754542295,NaN,0.293773832563778,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,0.203284676436176,48.1303310578052
95,6.25346748705089,NaN,NaN,NaN,NaN,NaN,NaN
100,11.4770434469569,0.0209423942698619,0.0311383913979536,0.0574203341356753,0.115813836331025,NaN,37.1623883390377
150,1.74454505174477,0.0187793897278149,0.0976169260336139,0.0626131502967561,0.0950580570045759,0.11325940493333,8.72142093190614
200,2.48361908445134,0.0104830269451636,0.0431557275017642,0.0445152759653087,0.0590884714963988,0.0345621165430771,4.02112158019462
250,NaN,0.00728714996045294,NaN,0.0354465652806054,0.0234821441289901,NaN,8.12578454786924
300,NaN,NaN,0.0685700697992968,0.0814190756164262,NaN,0.0766362299151616,8.29856490694218
350,NaN,NaN,NaN,NaN,0.043163077274843,0.0698217876622547,NaN
