t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,-0.00356559093697301,0.00150236443071158,0.00147634632850216
10,0.221186021518997,NaN,NaN
15,NaN,NaN,0.00133194115098004
20,0.716192435955525,0.00153579763362361,NaN
25,NaN,NaN,0.00131930439289248
35,0.81802742239368,NaN,NaN
40,NaN,0.00163829432905307,0.00150421542532517
45,0.840280852084891,NaN,NaN
55,0.830848611163366,NaN,0.00166557355621553
60,NaN,0.00163597443082651,NaN
70,0.766927150439019,NaN,0.00150699146079755
85,0.668934148996396,0.00144579202958501,NaN
90,NaN,NaN,0.00161121854413942
100,0.618881610061035,0.00162474636652257,0.00160457463630741
150,0.526646648123208,0.00168489231214795,0.00172903559061622
200,0.478580302499132,0.00142860396498517,NaN
250,0.424130454473614,0.00145912974944006,NaN
