t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,0.132592259456643,0.0159450611455798,0.0287777774621161,5.22963127815462
7.5,NaN,0.02000014819129,NaN,NaN
8.5,NaN,NaN,0.0384729467440695,3.59250543765031
10,3.18030517936266,NaN,NaN,NaN
15,NaN,0.105868020257679,NaN,NaN
20,9.06269296921485,NaN,0.0259528550115889,4.00542412184197
25,NaN,0.205137587976263,0.0152857280348514,5.85142520188663
30,NaN,0.281176384387517,NaN,NaN
35,19.1216751732159,NaN,0.0549818266106546,2.80793820803488
40,NaN,0.22905653503041,NaN,NaN
45,29.5001530684835,NaN,NaN,NaN
50,NaN,NaN,0.124412674999018,6.78269840758927
55,NaN,0.195605551664693,NaN,NaN
60,26.5882910721056,NaN,0.127186336076586,17.9060803443793
65,NaN,0.124482916000243,NaN,NaN
75,9.50723993075727,NaN,0.289646052579282,17.1084423009721
85,NaN,0.126875416579779,NaN,NaN
90,NaN,NaN,0.0852333974824064,NaN
95,7.83952962486882,NaN,NaN,17.0905470594362
100,25.7362410916693,0.122032576832181,0.0601538914099748,18.8582238265004
150,6.57360016245242,NaN,0.0332333749513197,11.6233611987583
200,7.16717886019411,NaN,NaN,NaN
