t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,0.00775290302055728,0.00207052637427512,0.000748442968722331
20,6.28224346391657,NaN,NaN
25,NaN,0.00132410097992375,0.00135368223752944
35,8.25357041632894,NaN,NaN
55,8.85449124987445,0.00153607056957766,0.00289398472009887
75,6.85362807132837,NaN,NaN
80,NaN,0.00128014778032717,NaN
85,NaN,NaN,0.00164092179529105
100,9.44917168074162,0.00185182260129428,0.000689509657666453
150,7.32926054515481,0.000585743848929828,0.00113623822367386
200,9.50811358186538,0.00350230265815611,0.000581479254977721
250,5.39288294659944,0.00103775220273938,0.00118708081786033
300,5.85585452789817,0.00218493523040908,0.00156759998201501
350,3.70083760963622,NaN,NaN
400,NaN,0.00103506677527235,0.000808201590929689
