t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,0.000702973292095189,0.0011804109443347,0.00150533759298066
10,0.168088256637868,NaN,0.0109891387394713
15,NaN,0.00170185155462076,NaN
25,0.759938027489835,NaN,0.00524911903473254
35,NaN,0.000764709384226019,0.00168055975779137
40,0.730315756478426,NaN,NaN
50,0.918043826145248,NaN,0.00390774145914665
55,NaN,0.000830180540175798,NaN
65,1.12495812404437,NaN,0.00174188063005877
80,NaN,0.00236494640782287,NaN
85,0.135868050723957,NaN,0.00307187075988234
100,1.89444836038526,0.00191447741657229,0.00287848502498665
150,0.243730562044398,0.00120072915799262,0.00228680809164922
200,0.246497230486765,0.00233924899034467,NaN
250,0.234500415748369,NaN,NaN
