t,epo_level,SOCS3nRNA4_Obs
9,2.5e-09,0.0228383518819953
9,7.905e-09,0.0232892943730139
9,1.25e-08,0.0219640916984514
9,1.75e-08,0.0244398351406906
9,2.5e-08,0.0196626001486845
9,3.95e-08,0.026983313843117
9,7.9e-08,0.0213824906950194
9,7.9e-08,0.0239885298883292
9,7.9e-08,0.0278995565803798
9,1.25e-07,0.0229467415522032
9,1.25e-07,0.0237101426979961
9,1.25e-07,0.0247860630870706
9,1.7675e-07,0.0229711468810287
9,2.5e-07,0.018999826584919
9,2.5e-07,0.0232782950386461
9,2.5e-07,0.0249196799786695
9,7.905e-07,0.0219248455928963
9,7.905e-07,0.0229767560521625
9,7.905e-07,0.0250340898376498
9,2.5e-06,0.0211479115394945
9,2.5e-06,0.0243701960196582
9,2.5e-06,0.0248693505781755
