t,CISHnRNA4_Obs,SOCS3nRNA5_Obs
0,0.000126302929642538,0.00159713600347113
65,NaN,0.00179162897882619
100,0.00223729514528498,NaN
150,NaN,0.00184048427939928
200,0.00251283227561604,0.0018112668640488
300,0.00223664111514896,0.00168399613255171
350,NaN,0.0019509201986907
450,0.00201334351572994,0.00164089546835385
550,0.00167355700312364,NaN
600,NaN,0.00159546519123163
700,0.00200217836989574,NaN
750,NaN,0.00194778873560601
900,0.00193793013696635,0.00155589536859268
1000,0.00177924211857581,NaN
1500,0.0016171079064008,NaN
