t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,-1.06891838260142,0.0103260423853424,0.0101051390230688
9.5,5.83611118725161,NaN,NaN
10,NaN,0.096637116906105,0.0294255543952171
20,22.512422075985,NaN,NaN
25,NaN,0.189150800256551,0.0358950432899011
30,26.7216766179169,NaN,NaN
40,28.6704652750907,0.210866121717565,0.116286566946833
55,28.0084022983535,0.201585100566324,0.167319142109907
65,25.5424975998783,NaN,NaN
70,NaN,0.143029850431509,0.164794834756175
85,19.0862212272062,NaN,NaN
90,NaN,0.0993840121787767,0.154670854507421
100,15.3240855215336,0.0892405526468515,0.130145156918468
150,10.6446396971165,0.0693618512532063,0.0869126659810432
200,10.5489961751226,0.0774363845391639,0.0829579987821744
