t,nSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs
0,-1.41672318099654,0.0320081007333809,0.018900010291556
8.5,1.28996804916631,NaN,NaN
9.5,NaN,0.0444436194362578,NaN
10,NaN,NaN,0.0202443260234884
15,8.29597898641558,NaN,NaN
20,NaN,0.123988207175125,0.0285453461688112
25,20.8619541371694,NaN,NaN
30,NaN,0.171939046739777,NaN
35,22.9867815818889,NaN,0.0736784779916805
40,NaN,0.170471024274704,NaN
45,24.2745933838001,NaN,0.107837439671158
55,NaN,0.144846326089772,NaN
60,21.7839173328666,NaN,0.139160271589118
70,NaN,0.108093770027003,NaN
75,15.5465552407005,NaN,0.119360536282455
85,NaN,0.0701088510912395,NaN
90,11.7258869129169,NaN,NaN
95,NaN,NaN,0.110486389537982
100,7.80552579878679,0.0542980206497389,0.111947350064626
150,3.67064425286699,0.0392660770016212,0.0426007611377611
200,NaN,NaN,0.0449134281688425
