t,STAT5A_Obs,pApB_Obs,pApA_Obs,pBpB_Obs,nucpApA_Obs,nucpApB_Obs,nucpBpB_Obs
0,142.516722344064,-0.290035727578249,-4.02622815976893e-08,-1.35377160688376e-08,1.0398835741341,0.887475248592274,2.87100109892537
10,NaN,NaN,NaN,4.69551413854748e-06,NaN,NaN,NaN
15,16.8822493809957,21.7630766843606,8.32080633650384e-06,NaN,NaN,NaN,39.8230852033135
20,NaN,NaN,NaN,1.72602875497614e-06,148.361821124745,24.6389653420528,NaN
30,20.4952932217861,18.5681455389028,NaN,NaN,NaN,NaN,38.7848428508282
35,NaN,NaN,4.54492069054918e-06,8.97793264344025e-07,142.893362259366,44.0742938410046,NaN
45,21.1011521212672,NaN,NaN,6.3236718600394e-07,NaN,NaN,37.4325345280585
50,NaN,14.0833291141118,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,3.49312927717806e-06,NaN,135.761765073056,60.5966246847856,NaN
60,23.8921342434336,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,10.8161270701711,NaN,4.03741017330229e-07,NaN,NaN,34.444244683991
75,27.1245557970318,NaN,2.79981651168604e-06,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,3.00982413432512e-07,121.617052429979,80.1233186649265,29.2946454689912
85,NaN,8.44324512535165,NaN,NaN,NaN,NaN,NaN
95,34.5439719606702,NaN,NaN,NaN,NaN,NaN,NaN
100,35.7575734898161,6.76675114352698,1.72472759340643e-06,2.34137081414333e-07,110.54155957533,83.2704286343316,27.3581639345596
150,54.0470471438071,2.85006669668424,6.80783175664236e-07,NaN,87.8134938268058,103.791937280179,20.0759282411016
200,70.7114217229051,1.13496715333392,NaN,NaN,54.3128273459769,103.632119152376,13.287999503301
250,81.6977102784127,0.698377180779406,NaN,NaN,40.1229637594175,106.940546383956,8.8578860228431
300,93.3910152576753,-0.163463243796055,NaN,NaN,NaN,NaN,6.55088239861783
350,92.4831457098357,NaN,NaN,NaN,20.1576817262348,109.963051305646,5.33740784395545
400,NaN,NaN,NaN,NaN,13.3340164368511,111.34237707362,NaN
