t,PKD_Obs,CERT_Obs,CERTTGNa_Obs
0,141954.266918861,37928231.0413179,376176936.056055
3,NaN,NaN,450289754.081904
3.5,122765.858368972,50731518.9562583,NaN
6.5,NaN,NaN,523028734.231942
7,118204.055046053,NaN,NaN
7.5,NaN,56570883.9570472,NaN
10,114766.895049561,56856622.5116094,554516142.117103
15,106757.976428722,64096148.784539,611157638.652439
20,99369.0764081934,67200709.8836438,714966149.98547
25,77776.4411585432,73344015.2747868,646836550.732885
30,76340.7005690325,76422245.7320303,NaN
35,NaN,NaN,741436939.111581
40,70078.0888639828,79184658.0662766,751100893.760235
45,76347.2831747202,NaN,NaN
50,NaN,93968848.1814412,814572809.745631
60,71240.0567608692,97848953.8618339,871068688.570274
70,NaN,101504205.860342,991241596.713597
