t,PKD_Obs,PI4K3Ba_Obs,CERTERa_Obs,CERT_Obs,CERTTGNa_Obs
0,152052.07513598,31489701.316286,113830644.246444,39372448.8706331,269358358.093247
3.5,111553.719414283,29622104.3005879,172721149.979754,NaN,490850645.219507
4,NaN,NaN,NaN,52949683.9833537,NaN
6.5,101122.943671695,NaN,NaN,NaN,694256243.042094
7,NaN,28908983.2196824,230559008.923663,NaN,NaN
7.5,NaN,NaN,NaN,77775150.8755068,NaN
10,83096.2885891785,32228379.2637905,265944228.682131,74826456.0421519,840638563.213597
15,70298.2054332787,29075264.1677727,309079620.48942,108047310.126269,1018508414.11429
20,57015.2212078121,28025822.3201465,415776642.553782,132505688.026197,1316875658.66114
25,66416.3301489201,31139111.4737229,418215274.85005,150007034.79913,1448456223.88563
30,60178.8375309246,32822334.293139,498565439.685347,NaN,1517110554.17093
35,64534.8268423405,31665936.0725031,529042517.813004,188999169.167478,1649988316.72553
45,53392.3471373861,31295115.6812459,631009971.621689,208274772.431661,1948686898.33173
55,51935.0277305295,28470639.4109437,762215518.337968,228900095.409968,2096289681.89359
65,46930.5305487633,30442198.53734,815760870.948964,251602840.413184,2254494450.83195
