t,EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs,dEpo_e_Obs
0,433.113445251972,20.9405976314671,-6.34473230524395,132.987592672096
25,307.004314731121,NaN,NaN,-63.4801050005427
30,NaN,234.521669683928,NaN,NaN
35,NaN,NaN,-15.2566769209481,NaN
45,272.27155347262,NaN,NaN,NaN
50,NaN,NaN,NaN,69.2410481198535
65,NaN,392.380994369013,NaN,NaN
70,281.159797049686,NaN,1.64486747615787,NaN
80,NaN,NaN,NaN,99.5196944748993
95,251.291868928259,NaN,NaN,NaN
100,314.931981704127,488.017860621453,16.1599512424245,442.99795898911
150,340.670113502978,589.994737742457,39.5368107680629,410.05123982856
200,240.747827681746,682.646463650442,54.3376621689557,555.957254278094
250,268.10926676031,NaN,91.7783038139298,674.205911307947
300,279.187611691976,575.489008340897,118.138053467123,NaN
350,345.263974327616,439.918260569109,120.324973492503,1018.58806695834
400,NaN,502.624714457994,158.828907435998,1413.54569897105
450,322.850363452215,NaN,NaN,NaN
500,393.964037230156,280.023061298506,178.917010040259,1526.15728320862
600,NaN,258.012381049685,203.535682427303,1709.54330040636
750,NaN,98.6113854021281,216.481500013652,1991.54055091717
