timepoint,Bac_Obs,cGlu_Obs
0,-0.0124194667821022,0.186941479957636
300,0.038457259289499,NaN
400,NaN,1.45169345883596
650,0.124610384262426,NaN
800,NaN,4.0565867132324
1000,0.0971218058201288,5.33370809330787
1500,0.328917927022853,6.44143183174354
2000,0.492911381230008,5.64946251639076
2500,0.803150255982868,4.47740719544494
3000,0.716547351364869,NaN
3500,0.817833364027659,3.17383289477877
4000,NaN,2.85471065451429
4500,0.878320322335274,NaN
5000,NaN,1.9063066156482
5500,0.888726940934305,NaN
6000,NaN,1.78530461315041
7000,NaN,1.14193653268091
8500,NaN,1.32398477113252
