timepoint,Bac_Obs,cGlu_Obs
0,0.0303943104232687,-0.0986066461113181
400,0.0591100089539572,NaN
450,NaN,0.290721192289304
800,0.0575841599030427,NaN
900,NaN,0.482836392947014
1000,0.102410907916729,NaN
1500,0.23555397067959,1.33663160171944
2000,0.517536438239782,1.69760160865464
2500,0.849125264819393,1.90964795629959
3000,NaN,1.74218525790814
3500,1.2536420947635,NaN
4000,1.24183087471268,1.12310096270903
5000,1.31640224517779,0.628952975400302
6000,1.42394727136159,0.380993823764916
7000,1.36876895349862,0.19094289419207
8500,1.3767377748528,0.119164559947213
