timepoint,Bac_Obs,cGlu_Obs
0,-0.0584251464475414,-0.455694829531158
350,NaN,9.51538015935087
450,-0.138769103852649,NaN
650,NaN,8.13275809668625
850,0.0167384608166528,NaN
1000,NaN,10.9861726973499
1500,0.367651478508738,8.20251477797847
2000,0.637564312325543,8.64811600591783
2500,1.0825089740732,6.90755181976863
3000,NaN,7.02613993947817
3500,1.20947538823735,5.67349461599611
4000,1.46003718828332,5.96144729612424
5000,NaN,5.52515880190984
5500,1.49124131678445,NaN
6000,NaN,4.3311035746961
7000,1.29755877652202,5.76436097361817
8500,1.40345983419753,NaN
