timepoint,Bac_Obs,cGlu_Obs
0,0.093528792133919,0.0603897040056923
250,-0.00364523934112812,NaN
350,NaN,0.143351491492752
450,0.01651998647818,NaN
700,0.22837476916484,NaN
750,NaN,0.549653795249606
1000,0.109219903018718,0.81960452354016
1500,0.606836982394235,1.85898982758189
2000,1.07660497060501,2.05327671331859
2500,1.21063775399713,1.89659291839238
3000,1.39457340757878,1.41962874531384
3500,1.38470185650375,NaN
4000,1.3857123212585,0.810065754316243
4500,NaN,0.486609306247108
5500,NaN,0.215267700830598
6500,NaN,0.170916260999405
