timepoint,Bac_Obs,cGlu_Obs
0,0.0972686688933649,-0.0421102815835905
400,0.0266368745527095,NaN
450,NaN,-0.0178758497447935
850,-0.0097519684221426,NaN
900,NaN,0.43066963773506
1500,0.433420593811921,3.21675362600559
2000,0.760094270183046,6.94425285182011
2500,0.848644596672958,7.0329498331529
3000,0.848496909850932,6.6743194915051
3500,0.891939833810494,NaN
4000,NaN,4.8175322496379
4500,0.931458553002009,4.49333269116846
5500,0.999577150818004,NaN
6000,NaN,2.88644992817746
7000,0.908078415372291,2.54877552266131
8500,0.838104075614427,2.78718517299284
