timepoint,Bac_Obs,cGlu_Obs
0,-0.00348395469600168,-0.028441137489582
200,0.0476003282650393,NaN
350,0.0372513946559863,NaN
450,NaN,1.75185372946761
550,0.0510405078311496,NaN
750,0.082695059101953,NaN
850,NaN,4.43516318766347
1000,0.164282206709123,NaN
1500,0.300254642921901,5.84427142301617
2000,0.425807937582021,5.43745774990862
2500,0.566908162981601,4.60746616272176
3000,NaN,3.12333411768554
3500,0.584652884523908,NaN
4000,NaN,2.21917716070105
4500,NaN,1.85749194499364
6000,NaN,1.88907666387296
7000,NaN,1.47976852101414
8500,NaN,1.29571105217414
