timepoint,Bac_Obs,cGlu_Obs
0,0.0292325863698616,-0.0937325296364524
150,0.0176064234574185,NaN
350,0.0756144466008195,NaN
400,NaN,0.181878305142055
500,0.0601273394873575,NaN
700,0.107669500010668,NaN
800,NaN,0.497405729445892
900,0.144052941959169,NaN
1000,0.201868575764463,0.943977243150555
1500,0.341155598594695,1.44469361521057
2000,0.413925679189103,1.81479157755796
2500,NaN,1.58836486144231
3500,NaN,1.24338525721499
4000,NaN,0.982895125806675
5000,NaN,0.843743018586316
6000,NaN,0.666379527024898
7000,NaN,0.527865427977511
8500,NaN,0.464307219271882
