timepoint,Bac_Obs,cGlu_Obs
0,0.104967556367179,-0.201001710859462
150,0.0379683293567272,NaN
350,0.0995421311131087,NaN
400,NaN,2.32036909578845
500,0.190712819095703,NaN
700,0.336927156240349,NaN
800,NaN,7.94057750160564
900,0.511004271198033,NaN
1000,0.56504188542418,6.58856786357809
1500,0.698775386938172,5.67699592613718
2000,0.793566136587025,4.73476272664646
2500,0.700153731274175,NaN
3000,0.697171214160859,2.73631449519435
3500,NaN,2.46419504366342
4500,NaN,2.29025144552447
5000,NaN,1.64592822222174
6500,NaN,1.06166784268865
8000,NaN,1.19372713926936
