timepoint,Bac_Obs,cGlu_Obs
0,0.0674512966036966,0.296580563992798
350,0.0499259037558137,NaN
400,NaN,1.66433697737702
700,0.0956013954156574,NaN
800,NaN,3.67706416031489
1000,0.142244895861937,4.67212518683821
1500,0.318506684240135,6.85189744997348
2000,0.42697008350457,5.4297467902674
2500,0.572957449346062,NaN
3000,0.612001210914119,3.7521278367446
3500,0.73853587932729,3.01579071989669
4000,NaN,2.64615812094511
4500,0.819119520041341,NaN
5000,0.645537086492422,2.28879824878574
6000,0.804333940019689,1.54973737037533
7000,NaN,1.89216315290107
8500,NaN,1.38064764203785
