timepoint,Bac_Obs,cGlu_Obs
0,0.0597537371572255,-0.598654708813823
300,0.0199294512399459,NaN
400,NaN,1.56164644733632
650,0.0904661899293678,NaN
800,NaN,3.36909901994285
1000,0.112335989021302,4.79890988167086
1500,0.204523966905032,6.43825582098696
2000,0.357006851810103,5.89887017391486
2500,0.415757316975191,4.75499696955077
3000,0.47123973819088,NaN
3500,NaN,2.93799476204491
4000,0.577567856100518,2.39756384677326
4500,0.491111607433239,NaN
5000,NaN,2.42278334733757
5500,0.444376477849804,NaN
6000,NaN,1.46586502794852
6500,0.482754340960767,NaN
7000,NaN,1.29872444179063
8500,NaN,1.17769392501674
