timepoint,Bac_Obs,cGlu_Obs
0,-0.00873112532111965,-1.0873305545158
150,0.0822608648157885,NaN
300,NaN,11.1431371937502
350,0.0590733388294808,NaN
500,0.0111795520549902,NaN
650,NaN,9.22959132566222
700,0.0843227926925728,NaN
900,0.153047164428737,NaN
1000,0.227192693014966,7.74467733900655
1500,0.478023044819427,8.94835578070733
2000,0.86623377291797,7.45074498926287
2500,1.09076022135534,7.77785026025621
3000,0.974890465158931,6.5396965123437
3500,1.09680765232654,NaN
4000,NaN,5.77642391746796
4500,NaN,4.43508819673982
5500,NaN,5.57870026535788
6500,NaN,3.71130455858088
7500,NaN,4.17121582415806
