timepoint,Bac_Obs,cGlu_Obs
0,-0.0157283079123992,0.416217834158036
90,0.051348545804225,NaN
200,0.0521509060697121,NaN
300,0.0822165730078183,8.79113065589823
400,0.149027352197455,NaN
500,0.122856155074973,NaN
600,0.282505282071106,NaN
650,NaN,8.14662780867994
750,0.400236161313614,NaN
900,0.477379522690319,NaN
950,NaN,9.34041033907123
1000,0.493505173576179,NaN
1500,0.519739906936884,8.44637541869918
2000,0.534471276352566,6.99239025129279
2500,NaN,7.30350704945034
3000,NaN,6.72377079373555
4000,NaN,6.17600546253694
4500,NaN,5.53044808533139
5500,NaN,4.19161048307737
6500,NaN,3.89685007050063
7500,NaN,4.17651246627112
