timepoint,Bac_Obs,cGlu_Obs
0,0.154560120473265,-0.0912550475067661
200,0.00665911306389346,NaN
350,NaN,0.0679736874989442
450,0.135790614634254,NaN
650,0.143251519260299,NaN
750,NaN,0.584726134286772
900,0.405975603711258,NaN
1000,0.443874140186276,1.19555148828978
1500,0.937670348329185,2.21870720880237
2000,1.19514381686444,2.03623636961821
2500,1.13500698491433,1.56755055731345
3000,1.14321661342638,1.21699467984706
3500,1.19021782350388,NaN
4000,1.15755879899029,0.666057039045864
4500,NaN,0.504884214392323
5500,NaN,0.432359828205946
6500,NaN,0.227764113877066
7500,NaN,0.166045526087134
