timepoint,Bac_Obs,cGlu_Obs
0,0.06183805193046,0.343289939208079
200,-0.037017121654844,NaN
250,NaN,10.1576085619436
450,0.0405689092563558,NaN
500,NaN,10.2648462749377
650,0.097464291846061,NaN
750,NaN,9.80518267387799
900,0.159728192951367,NaN
1000,0.182813320872699,8.29627437600394
1500,0.327465026953239,7.74852802741129
2000,0.454571279118564,7.7162091157357
2500,0.49422081337781,6.90548774426995
3000,0.449080673770857,6.61647200129966
3500,0.515506536546998,6.2313450369459
4000,0.477651016945701,NaN
4500,NaN,5.45446827910896
5500,NaN,5.88804002571507
