timepoint,Bac_Obs,cGlu_Obs
0,-0.0180333945530017,-0.495857234161535
150,0.0426979742278987,NaN
300,0.0923109362670335,8.82915723542972
500,0.0906066505082543,NaN
600,NaN,7.11552759728754
650,0.133361588677978,NaN
850,0.190773721203104,NaN
950,NaN,7.41469166917114
1000,0.286063468013378,NaN
1500,0.730530301782229,7.59313293965674
2000,0.917268093348057,7.60378074475643
2500,0.935220203725112,7.28303050215214
3000,0.935690794944071,6.52397130228149
3500,NaN,7.00660594780534
4500,NaN,6.13279629391137
5000,NaN,5.78991484592603
6000,NaN,4.36874441573597
7000,NaN,4.67783597339712
