timepoint,Bac_Obs,cGlu_Obs
0,0.0130211433591668,0.102731162143648
300,0.098314960369154,NaN
400,NaN,0.106760338075684
650,0.0933792957148136,NaN
750,NaN,0.550843956458855
950,0.151601721072807,NaN
1000,NaN,0.697981941491919
1500,0.346117553623753,1.42857786518964
2000,0.617707356592868,1.92087834426899
2500,0.867316515443814,2.04610785897753
3000,1.21991505919562,1.63152440779519
4000,1.19352909576969,0.983857489420496
4500,1.31345764412383,NaN
5000,NaN,0.422404712618372
5500,1.24117160411143,0.359995214761428
7000,NaN,0.190617183321723
