timepoint,Bac_Obs,cGlu_Obs
0,0.00148199937522135,-0.418170391305117
200,0.037673040736139,NaN
300,NaN,9.1969823635574
350,0.00164807092929946,NaN
550,0.15099479403449,NaN
600,NaN,9.64734507708144
750,0.277901615781869,NaN
950,0.323216871679637,8.14431492058352
1000,0.42330703283895,NaN
1500,0.66346465799749,8.30781453804219
2000,0.774818502066565,6.73225750798614
2500,0.776295643669519,6.15937504532989
3000,0.754330059845481,7.98448129526192
4000,NaN,5.37514628306068
4500,NaN,6.8585737848803
5500,NaN,3.41972195540882
6500,NaN,3.38396722581044
