t,IRins_Obs,IRp_Obs,IRi_Obs,XX_Obs
0,0.0241956699905889,2.48465439995523e-09,0.0523049558301393,9.87373520615106
0.6,NaN,NaN,NaN,9.74695225801012
1,NaN,9.57398586310806e-08,NaN,NaN
1.5,2.32234561384727,NaN,0.142350078804816,5.75488805148805
2,NaN,NaN,NaN,13.6752178062384
2.5,2.06701665129257,2.60764707130027e-07,0.235956982070322,15.4249472085426
3.5,NaN,3.81461194471448e-07,NaN,16.7795155678246
4,1.7061138040267,NaN,0.566520064089027,NaN
4.5,NaN,NaN,NaN,6.96840728900973
5,NaN,5.29358542856298e-07,NaN,NaN
5.5,5.40114756013699,NaN,NaN,NaN
6,NaN,NaN,1.76035957718874,8.09173571775032
6.5,NaN,9.17269335642597e-07,NaN,NaN
7.5,6.48425019348816,NaN,1.76440050662574,7.67964105445287
8.5,NaN,8.94000342177343e-07,NaN,NaN
9,NaN,NaN,NaN,9.8112611524984
9.5,4.10955177857775,NaN,2.15560530188902,NaN
10,5.66411677150062,6.93799797596318e-07,4.15688897480436,NaN
15,3.33088418359436,6.1125778224182e-07,3.47303494466405,NaN
20,5.66995176166213,5.99439161950243e-07,5.11462279306367,NaN
