t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,14.1827715184997,0.0186358001590793,1.72593667353961e-09,1.36393303362478e-05,0.0498055350719267,7.92212111324284,0.135489977911299,13.3089307422875,9.31042576614059e-05
2,NaN,NaN,NaN,NaN,NaN,10.96942290744,2.5449410565415,NaN,NaN
2.5,NaN,4.89201973558873,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.0956641400693115,NaN,8.06375725419684e-07,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,2.53880407628963,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,0.00054671393406352,NaN,NaN,2.89091847309779,NaN,NaN
4.5,NaN,7.12859929753895,NaN,NaN,NaN,7.41964269516379,NaN,8.91443497333161,0.00161582752629006
6,0.132048445460266,NaN,8.80320472443877e-07,NaN,NaN,NaN,2.17011065400615,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,12.8374342493179,NaN,NaN,NaN
7,NaN,9.21545401928543,NaN,NaN,3.43221184024208,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,0.000406873343127541,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,2.26910021111023,NaN,NaN
9,NaN,NaN,7.60082232124638e-07,NaN,NaN,NaN,NaN,NaN,0.00156024029601723
9.5,0.130897096103323,NaN,NaN,NaN,NaN,9.22777586437844,NaN,11.6929537691375,NaN
10,NaN,5.87937826606438,7.44592674720486e-07,0.000294659149933321,3.72227486082044,6.52582943494833,1.16285097914551,NaN,NaN
15,0.0926593603309477,7.48904455241858,4.22945357594095e-07,0.000232098632524203,5.39627552049869,9.11974595039546,1.57096706735139,17.7161505641773,0.00131980207788274
20,0.0876403452890138,3.22471158636491,5.09514165577803e-07,0.000282734682762669,5.21399287646846,7.84193312608819,1.57578229411708,12.8953585824472,0.00156010978464441
25,0.0463485420351056,2.47373347352448,4.91363241376639e-07,NaN,7.48835783177433,6.86068252339605,1.82287946025393,9.85532594084056,0.00179079561348965
30,0.0795919085969788,2.5038994641041,4.68264576491011e-07,0.000210753304393354,4.39783898431312,8.63139688819502,1.34451443217394,NaN,0.00170487946665165
35,NaN,4.06705181854247,NaN,0.000272630841257358,4.69074575739716,12.4558719750784,NaN,9.63799513757069,NaN
40,NaN,NaN,2.54628108761208e-07,NaN,NaN,NaN,NaN,NaN,0.00163922969433706
45,NaN,4.11631161745254,NaN,0.000166998472519253,8.5276205645296,NaN,NaN,6.36335285364273,NaN
50,NaN,NaN,3.9733014104073e-07,NaN,10.7804566392318,NaN,NaN,NaN,0.0010784766750546
55,NaN,NaN,NaN,0.00023606903883792,NaN,NaN,NaN,6.85858850871431,NaN
60,NaN,NaN,NaN,NaN,8.07402744246513,NaN,NaN,NaN,0.00187342410187099
65,NaN,NaN,NaN,0.00013339695192317,NaN,NaN,NaN,12.8881550151973,NaN
70,NaN,NaN,NaN,NaN,7.49630907653151,NaN,NaN,NaN,NaN
