t,Rec_Obs,STAT5_Obs,SOCS3mRNA_Obs,CD274mRNA_Obs
0,1.1499627078976,101.971586449479,0.724021136398703,0.912830325234309
8,0.578037584577737,NaN,NaN,NaN
10,NaN,211.971402299995,NaN,2.76412468732153
15,0.531658726645512,NaN,14.1912469198591,NaN
20,NaN,99.773277296942,NaN,NaN
25,0.739067322722551,NaN,45.1350718485639,10.3915265948689
30,NaN,109.59380205735,NaN,NaN
35,0.726545426656501,NaN,NaN,19.9616599706556
40,NaN,NaN,125.834639923156,NaN
45,0.520898853822276,76.3941382013491,NaN,NaN
50,NaN,NaN,NaN,42.7135334925386
55,0.731597936770391,99.9132713071908,185.047468080071,NaN
65,NaN,NaN,NaN,88.1145332786929
70,0.764769568348866,101.370285791019,309.227752779623,NaN
80,NaN,NaN,NaN,99.7690818266609
85,0.598323196012513,97.6078273990295,707.847600985963,NaN
100,0.482079166947836,66.30488440254,612.06586207693,132.557510987427
150,0.514225872870084,142.885335544897,819.56443165605,286.77295243141
200,NaN,190.896423183037,2043.95180439644,292.763756497301
250,NaN,113.824810753699,1134.62508510867,249.491386101279
300,NaN,121.329016817602,2232.16389793538,339.355380612583
