t,Rec_Obs,CD274mRNA_Obs
0,1.70967320179098,1.03292035067702
8,0.246073552342547,NaN
15,0.632345322432521,5.05570832073572
25,0.615431827874631,32.0716740395633
35,0.491150864831964,NaN
40,NaN,45.8699897094936
45,0.458262280864541,NaN
55,0.289031536957189,NaN
60,NaN,85.6782718031671
65,0.607540780263325,NaN
75,NaN,113.076589964989
80,0.592453805027247,NaN
95,0.25939844078933,NaN
100,0.335416201626569,158.671249120132
150,0.498508242036061,257.476716502871
200,NaN,471.75116167898
250,NaN,443.6906143698
300,NaN,462.059951840421
