t,STAT5A_Obs,STAT5B_Obs,pApA_Obs,nucpApA_Obs
0,166.927926603763,61.4799189777513,-3.32960832179085e-07,-36.7248238694403
20,22.2535815299338,4.22980878206131,NaN,127.416637545471
35,NaN,NaN,2.05014560309152e-06,139.101593239004
45,25.1037655985027,4.29596104253423,NaN,NaN
55,NaN,NaN,NaN,148.604011270945
65,11.5738422324031,NaN,1.87957661588701e-06,NaN
70,NaN,7.93644938075739,NaN,NaN
75,NaN,NaN,NaN,127.046463658264
90,11.1132397787389,NaN,NaN,NaN
95,NaN,10.3352143782238,NaN,NaN
100,26.2374596883227,3.76194131203799,1.53002591187901e-06,128.425287291399
150,35.1557846955322,1.63125449800913,1.18470520576809e-06,149.924784380055
200,29.2892879203128,4.00713648740396,1.04465986893433e-06,117.484537491824
250,58.5681464535949,12.4504026475522,7.58286263307342e-07,71.4713500215481
300,58.7392972034823,12.6091916302764,2.4585916943697e-07,59.3951121795735
350,79.7509110680386,18.611989046486,4.00662804137584e-07,16.419054701087
400,73.3088778716849,NaN,NaN,43.7980474802915
450,NaN,15.7398667528662,2.56665913900711e-07,NaN
500,89.5162240276997,17.9310743592517,NaN,NaN
550,79.6749973420938,NaN,-4.94162943872118e-08,NaN
600,NaN,12.8162362628602,NaN,NaN
650,NaN,NaN,1.82240027715812e-08,NaN
