t,pAC_Fsk_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.0561728080363294,0.0380867046371152,-0.00786548683073689
2,0.0784103900967555,NaN,NaN
3.5,NaN,NaN,0.545809155200888
4,0.0843731033148606,NaN,NaN
6.5,-0.0285159803583307,NaN,NaN
7.5,NaN,NaN,0.528891157036147
8.5,NaN,0.0335368591051478,NaN
9,-0.0605909949634781,NaN,NaN
10,-0.0609473960822631,NaN,0.525494713115769
15,-0.064155069284239,NaN,0.533998862326427
20,0.0453989978623028,0.0251670289143744,0.579919355094784
25,0.0201306271510251,NaN,NaN
30,NaN,0.0229239560911787,0.583391452112126
35,0.0160284264410794,NaN,NaN
40,NaN,0.0229369701895257,NaN
55,NaN,0.0243485410776755,NaN
70,NaN,0.0226706331681048,NaN
