t,pAC_Fsk_Obs,RII_2_Obs,AC_Fsk_Obs
0,-0.069346147769058,0.0388572430718897,0.095940325383334
20,0.116971642667438,0.0385451715877378,0.102034712615925
40,-0.0367745254423565,0.0382543316479821,-0.0436776777550591
65,0.0841222353427877,0.039423571429711,0.0112885794407651
85,0.0598482160428721,0.0385123571799262,0.0139390108748608
100,0.00835107342603728,0.0401611004230017,-0.005863187406961
150,0.0112833544260476,0.0393322842658638,0.0616528907931187
200,0.0160206696889846,0.0384328130436159,0.0254215353581191
250,-0.00411865923423554,0.0355469853464962,-0.0111863153191155
300,-0.00349821204471387,0.0353290761444357,0.00112058891103569
350,-0.0339235279688992,0.0385410816730025,0.0640504646261902
450,-0.0719616538076588,0.0399186417206845,0.0148831666216642
