t,RII_2_Obs,AC_Fsk_Obs,RIIp_2_Obs
0,0.0375375354988674,0.0616007600755064,0.172376264311435
7,NaN,NaN,0.29727900756994
7.5,0.0303997697466067,NaN,NaN
10,NaN,0.0277108389839217,NaN
15,0.0246218198539725,NaN,0.447384998902478
20,NaN,NaN,0.474997109432047
25,0.0231376973189891,0.0442747092664331,NaN
30,NaN,NaN,0.478571055323404
35,0.0226869190833972,NaN,NaN
40,NaN,-0.0893189246280999,0.516805462800918
45,0.0211369199730749,NaN,NaN
50,NaN,NaN,0.550173020884018
55,NaN,-0.0422335672998253,NaN
60,0.0245042718793794,NaN,NaN
65,NaN,NaN,0.514178788563548
75,NaN,0.0106715969584457,NaN
100,NaN,-0.0151169708188188,NaN
