t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,49765933.9973457,-4.34161532706899e-05,-0.0010534111238221,-0.000568652683494115,-1335212.25940198
35,21997160.1213633,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,23721022.2688605
70,9756977.12934346,0.00139792224950378,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,22012408.6285824
100,5856660.33899486,NaN,NaN,NaN,NaN
150,-1867328.2443933,0.000856634511091291,NaN,NaN,8589137.47531297
200,-2244028.2829327,0.000389556015471397,NaN,NaN,6381272.22454761
250,2855542.61454389,NaN,0.0196161061565664,NaN,2946321.67925324
300,-3974812.59249034,0.000145366842027327,NaN,NaN,2243101.97060458
400,-2685276.356629,0.000127393315209397,NaN,NaN,-451839.413886586
450,NaN,NaN,NaN,0.00277513215287504,-1120071.05489981
500,NaN,6.75179618112405e-05,NaN,NaN,NaN
550,NaN,NaN,0.00438065411861252,NaN,1545908.57685873
600,NaN,-1.78964380049006e-05,NaN,NaN,NaN
700,NaN,0.000242449845592143,NaN,NaN,585437.348581172
850,NaN,9.32412015095401e-05,-0.000623730915957902,NaN,-1256022.72751921
950,NaN,NaN,NaN,0.00175684543216379,NaN
1000,NaN,-6.11315047698563e-05,0.000858576568199975,NaN,NaN
1500,NaN,NaN,0.00179152194616152,0.00158813943351335,NaN
2000,NaN,NaN,-0.000103150870788812,0.0014197012651744,NaN
2500,NaN,NaN,0.000249768760220691,0.000912123653901998,NaN
3500,NaN,NaN,NaN,0.000740804235040721,NaN
4000,NaN,NaN,NaN,0.00161840007328652,NaN
5000,NaN,NaN,NaN,0.000866322939051745,NaN
6000,NaN,NaN,NaN,0.000564609114103184,NaN
7500,NaN,NaN,NaN,0.000278505693540823,NaN
8500,NaN,NaN,NaN,0.00039532060233281,NaN
