t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,57697833.8584001,1.6790324727889e-05,0.000156699800107212,0.000278203350633971,-181903.178405604
150,33916479.0584294,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,1924502.09836722
250,NaN,0.000215346165133781,NaN,NaN,NaN
300,29240143.4594361,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,1444132.37518086
400,NaN,NaN,0.00602254361091659,NaN,NaN
450,16071906.8689435,NaN,NaN,NaN,NaN
500,NaN,0.000125663207183079,NaN,NaN,NaN
550,NaN,NaN,NaN,0.0010683819436408,1180565.13718632
600,9211826.6757241,NaN,NaN,NaN,NaN
750,9329300.36053538,5.41386282202207e-05,NaN,NaN,NaN
800,NaN,NaN,0.00328981725752577,NaN,683056.106641459
950,8742165.13640168,NaN,NaN,NaN,NaN
1000,-714060.905507291,5.40179838343985e-05,0.00266950916827311,0.00123713291161127,659589.213503961
1500,2232684.58945082,1.70012518431801e-05,0.00110913446921525,0.00199235576964956,373211.773962845
2000,-3042694.54616508,-7.13031474351369e-06,NaN,NaN,-7595.17394159203
2500,718813.201387646,-2.11262740601726e-05,0.000867316878556477,0.00148054386578432,-147830.151445737
3000,-8178511.31591141,-5.05586052866115e-06,0.000987554272091889,0.00105819877591629,20787.2897569019
3500,NaN,NaN,0.00014578470576172,NaN,286225.685189625
4000,NaN,2.00414957492716e-05,NaN,0.00112823493090597,NaN
4500,NaN,NaN,-0.000377216436758112,NaN,NaN
5000,NaN,NaN,NaN,0.000701413873075719,NaN
5500,NaN,NaN,-0.00028072766924684,NaN,NaN
6000,NaN,NaN,NaN,0.000162269708733765,NaN
7000,NaN,NaN,NaN,0.000332431883040678,NaN
8500,NaN,NaN,NaN,0.00025892835529977,NaN
