t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,43305007.3211519,1.1340984111884e-06,0.000843703071733645,4.00411625252334e-05,39627.0339009282
80,47869831.5298886,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,6587868.59196344
150,27843849.3699207,NaN,NaN,NaN,NaN
200,NaN,0.000461790569354512,NaN,NaN,NaN
250,17424078.2473372,NaN,NaN,NaN,3720230.28313811
300,NaN,NaN,0.0141831272789986,NaN,NaN
350,18539010.3834127,NaN,NaN,NaN,NaN
400,NaN,0.00017257908099322,NaN,NaN,2176397.11141802
450,-365724.079153607,NaN,NaN,0.0012394278986576,NaN
550,6241677.01115725,NaN,NaN,NaN,2365606.61641014
650,NaN,7.60885348482456e-05,0.00664287918445682,NaN,NaN
700,2520951.31204046,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,751802.322913698
850,5507443.57223338,NaN,NaN,NaN,NaN
950,NaN,7.68259435838864e-05,NaN,0.00205838648433484,NaN
1000,7197269.45372284,6.26962624806319e-05,0.0022249149263498,NaN,1255628.29401126
1500,8047043.68194848,6.76862106500535e-05,-0.00122325100732061,0.00150150910617339,NaN
2000,NaN,NaN,0.00104636102296684,0.00241161780634059,NaN
2500,NaN,NaN,NaN,0.00217948064525588,NaN
3000,NaN,NaN,0.000441152368034095,NaN,NaN
3500,NaN,NaN,0.000211578272894273,0.000405272722267326,NaN
4000,NaN,NaN,0.000415889749675103,0.00063163036811243,NaN
5000,NaN,NaN,0.00048156176096784,0.00126318387702273,NaN
6000,NaN,NaN,NaN,0.00106885880037991,NaN
7500,NaN,NaN,NaN,0.000208063380325697,NaN
8500,NaN,NaN,NaN,0.000230886670579988,NaN
