t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,51092056.5359964,-1.09910747345177e-05,-0.000225540568052837,0.000257731561368233,1919735.28425191
40,1046474.1200619,0.00207710970944845,NaN,NaN,32343269.371008
80,NaN,NaN,NaN,NaN,16158345.5024433
85,2213057.12763725,0.00127202523766607,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,10795883.0977411
150,-4669499.60713181,0.000618539506491181,NaN,NaN,6114633.33882907
200,2880986.66380066,0.000292272691017381,NaN,NaN,3906652.87652161
250,159042.492765811,0.000120519224053046,0.0189564161609905,NaN,1968367.71940209
300,-1175133.41354989,-0.000114238648872866,NaN,NaN,NaN
350,NaN,-2.46244481110121e-05,NaN,NaN,-2373815.23203102
400,424511.180499334,NaN,NaN,NaN,-1590972.5638984
450,NaN,-9.77895493135208e-05,0.00640490547405866,NaN,NaN
500,NaN,-0.000190672127156325,NaN,NaN,890339.653982979
550,NaN,NaN,NaN,0.00324797246775144,NaN
600,NaN,-0.000399674920471648,NaN,NaN,837710.636781549
700,NaN,-7.67698237186932e-05,NaN,NaN,323202.359469006
750,NaN,NaN,-0.000297349131009942,NaN,NaN
1000,NaN,NaN,0.000874718881201984,0.00264512449731605,NaN
1500,NaN,NaN,0.000263039718127954,0.00240585620150957,NaN
2000,NaN,NaN,0.000212409691832133,NaN,NaN
2500,NaN,NaN,-0.000734177812868235,0.0012833649432454,NaN
3000,NaN,NaN,NaN,0.00121982588595039,NaN
4000,NaN,NaN,NaN,0.00110394578193665,NaN
4500,NaN,NaN,NaN,0.000763043410094045,NaN
6000,NaN,NaN,NaN,0.000545418048335688,NaN
7000,NaN,NaN,NaN,0.000605447466472992,NaN
8500,NaN,NaN,NaN,0.000529694938014188,NaN
