t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,54165145.4335735,3.27867944842334e-06,0.000193874115888066,0.000122150788850771,54326.6742766389
250,NaN,7.85624236779717e-05,NaN,NaN,NaN
300,28035484.7757368,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,604643.685794344
450,NaN,NaN,0.00256385712819326,NaN,NaN
500,NaN,6.20558348836365e-05,NaN,0.000420218890163453,NaN
650,24844239.7797323,NaN,NaN,NaN,NaN
750,NaN,4.47549010742651e-05,NaN,NaN,322392.422015538
900,NaN,NaN,0.00164834842239906,NaN,NaN
950,7236886.18792092,NaN,NaN,NaN,NaN
1000,NaN,2.57800624893433e-05,NaN,0.000666639624620769,305696.387756836
1500,6962708.08093959,1.29672471392303e-05,0.000370796531632741,0.000478329802123446,106179.950832082
2000,4375611.31316673,1.83087040411621e-06,0.000185055774897401,0.000806490220457791,78631.6971395654
2500,11336397.1092507,9.51837447428785e-06,0.000162240470282436,NaN,NaN
3000,3954219.37465919,6.24062477225188e-07,NaN,0.000621548328945285,-28556.0956226863
3500,NaN,4.62095700885291e-07,9.89090439047417e-05,0.00042259217695937,NaN
4000,NaN,-3.2137373185655e-06,7.17285301438329e-06,0.000318056239212314,NaN
5000,NaN,-1.65126725468316e-06,0.000189354585952539,0.000156683279890506,NaN
6000,NaN,NaN,NaN,0.000364277465599502,NaN
6500,NaN,NaN,9.75160993372125e-06,NaN,NaN
7500,NaN,NaN,NaN,0.000168381430372621,NaN
8500,NaN,NaN,NaN,0.000309406369785068,NaN
