t,IR1_Obs,IR2in_Obs,Compound_2_Obs,Compound_4_Obs
0,0,0.00846321484047422,508.785613208995,421.31536718012
8,NaN,0.626507116057132,NaN,NaN
8.5,0.0216923476410732,NaN,NaN,NaN
10,NaN,NaN,489.512057951542,NaN
15,0.0190406308786491,1.06000801012528,NaN,352.646993748514
20,NaN,NaN,475.232187918737,NaN
25,0.0205815730679832,1.74912694821351,NaN,428.906486345273
30,NaN,NaN,420.9458851753,NaN
35,0.0152249710538718,1.76845085017775,NaN,NaN
40,NaN,NaN,426.019262049919,382.049761265855
45,NaN,1.92971133187106,NaN,NaN
50,0.0164424864305054,NaN,NaN,NaN
55,NaN,1.88443312472528,492.269886222217,NaN
60,0.0139546688063686,NaN,NaN,403.735372677296
65,NaN,2.24628433783919,NaN,NaN
70,NaN,NaN,469.744542511613,NaN
75,0.0147590225955072,NaN,NaN,NaN
80,NaN,2.43765527194697,NaN,465.825204814015
85,NaN,NaN,424.125940251189,NaN
90,0.0157873748532328,NaN,NaN,NaN
95,NaN,2.51592663499152,NaN,NaN
100,0.0178967331230304,2.26093985695999,419.239181150194,439.324734781187
150,0.0114756610931738,2.45567210330796,614.607597269558,429.612746189357
200,NaN,1.95828578671914,569.707605305542,389.706821818715
