t,Uptake1_Obs,InsulinFragments_Obs,BoundUnspec_Obs,Compound_1_Obs,Compound_3_Obs
0,0,0,0.989553715219663,1269.76626394983,1493.17785973162
4.5,NaN,NaN,482.958723442908,NaN,NaN
8.5,NaN,NaN,NaN,1632.94396107143,1500.27172221829
9,NaN,NaN,539.708177926511,NaN,NaN
9.5,5.77359366589151,NaN,NaN,NaN,NaN
10,NaN,2.92043538351225,NaN,NaN,NaN
15,NaN,NaN,415.125574841163,1085.2881374907,NaN
20,7.51491136769238,NaN,502.849135687549,NaN,1553.77005765219
25,NaN,16.6148953181836,480.21679624472,1004.95803467234,1462.39987355194
30,9.95767244487612,NaN,414.191776318735,NaN,NaN
35,NaN,NaN,372.881707495705,1273.7573051412,1753.35837772162
40,12.4883864309637,31.5453197600249,NaN,NaN,NaN
45,NaN,NaN,475.29360194856,NaN,1406.28695735073
50,NaN,NaN,572.331995334082,1235.73085045801,NaN
55,12.1180668742002,42.5527155190544,NaN,NaN,NaN
60,NaN,NaN,337.559767630218,1556.53966063174,1945.62569005622
65,12.5851335446134,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,1478.52908404293
75,NaN,65.7507719751796,427.325362240259,1281.9628851058,NaN
80,13.88627191662,NaN,NaN,NaN,NaN
85,NaN,NaN,401.381343565049,NaN,NaN
90,NaN,NaN,NaN,NaN,1490.75391445618
95,NaN,NaN,NaN,1428.08702608675,NaN
100,14.7250082317877,95.8831514837875,342.753201477783,1228.21583231885,1893.75965306677
150,13.870327554151,161.055441122792,NaN,1196.75505812026,1516.35964335091
200,23.4544285441709,244.02982865645,NaN,1398.0837996602,1832.52558545585
